,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frontier ,73.14,,,,,,,,,,,,,,,,,,16,,,,,,,,
,ExpressJet ,70.64,,,,,,,,,,,,,,,,,,17,,,,,,,,
,All Airlines,79.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,
,Hawaiian*  ,87.5,,,,,,,,,,,,,,,,,,,1,,,,,,,
,Delta* ,87.2,,,,,,,,,,,,,,,,,,,2,,,,,,,
,Spirit,86.61,,,,,,,,,,,,,,,,,,,3,,,,,,,
,Alaska*  ,86.31,,,,,,,,,,,,,,,,,,,4,,,,,,,
,Southwest,85.98,,,,,,,,,,,,,,,,,,,5,,,,,,,
,Frontier  ,83.87,,,,,,,,,,,,,,,,,,,6,,,,,,,
,United *,83.75,,,,,,,,,,,,,,,,,,,7,,,,,,,
,American*,82.32,,,,,,,,,,,,,,,,,,,8,,,,,,,
,JetBlue ,82.14,,,,,,,,,,,,,,,,,,,9,,,,,,,
,Allegiant,71.33,,,,,,,,,,,,,,,,,,,10,,,,,,,
,All Airlines,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,
,,,,,,,,,,,,,,,,,,,,,* Includes branded code-share partners,,,,,,,
,Endeavor,89.16,,,,,,,,,,,,,,,,,,,,1,,,,,,
,Hawaiian,87.97,,,,,,,,,,,,,,,,,,,,2,,,,,,
,Republic,86.93,,,,,,,,,,,,,,,,,,,,3,,,,,,
,Spirit,86.61,,,,,,,,,,,,,,,,,,,,4,,,,,,
,Delta,86.32,,,,,,,,,,,,,,,,,,,,5,,,,,,
,Southwest,85.98,,,,,,,,,,,,,,,,,,,,6,,,,,,
,SkyWest ,85.89,,,,,,,,,,,,,,,,,,,,7,,,,,,
,Alaska,84.85,,,,,,,,,,,,,,,,,,,,8,,,,,,
,Frontier ,83.87,,,,,,,,,,,,,,,,,,,,9,,,,,,
,United ,83.56,,,,,,,,,,,,,,,,,,,,10,,,,,,
,American,83.37,,,,,,,,,,,,,,,,,,,,11,,,,,,
,JetBlue ,82.14,,,,,,,,,,,,,,,,,,,,12,,,,,,
,Envoy ,81.98,,,,,,,,,,,,,,,,,,,,13,,,,,,
,ExpressJet* ,81.84,,,,,,,,,,,,,,,,,,,,14,,,,,,
,Mesa,81.61,,,,,,,,,,,,,,,,,,,,15,,,,,,
,PSA ,79.3,,,,,,,,,,,,,,,,,,,,16,,,,,,
,Allegiant,71.33,,,,,,,,,,,,,,,,,,,,17,,,,,,
,All Airlines,84.63,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"* ExpressJet Airlines ceased operations on Sept. 30, 2020 ",,,,,,
,Hawaiian Airlines* ,90.14,,,,,,,,,,,,,,,,,,,,,1,,,,,
,Delta Air Lines*,88.22,,,,,,,,,,,,,,,,,,,,,2,,,,,
,Alaska Airlines*,83.17,,,,,,,,,,,,,,,,,,,,,3,,,,,
,American Airlines*,81.58,,,,,,,,,,,,,,,,,,,,,4,,,,,
,United Airlines*,79.81,,,,,,,,,,,,,,,,,,,,,5,,,,,
,Spirit Airlines,76.74,,,,,,,,,,,,,,,,,,,,,6,,,,,
,Frontier Airlines,76.64,,,,,,,,,,,,,,,,,,,,,7,,,,,
,Southwest Airlines,75.78,,,,,,,,,,,,,,,,,,,,,8,,,,,
,JetBlue Airways,72.31,,,,,,,,,,,,,,,,,,,,,9,,,,,
,Allegiant Air,68.26,,,,,,,,,,,,,,,,,,,,,10,,,,,
,All Airlines,81.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,
,,,,,,,,,,,,,,,,,,,,,,,* Includes branded code-share partners,,,,,
,Endeavor Air,90.98,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Hawaiian Airlines,90.15,,,,,,,,,,,,,,,,,,,,,,2,,,,
,Delta Air Lines,87.85,,,,,,,,,,,,,,,,,,,,,,3,,,,
,Horizon Air,85.26,,,,,,,,,,,,,,,,,,,,,,4,,,,
,PSA Airlines,84.52,,,,,,,,,,,,,,,,,,,,,,5,,,,
,Republic Airways,84.35,,,,,,,,,,,,,,,,,,,,,,6,,,,
,SkyWest Airlines,82.45,,,,,,,,,,,,,,,,,,,,,,7,,,,
,Envoy Air,82.32,,,,,,,,,,,,,,,,,,,,,,8,,,,
,United Airlines,81.34,,,,,,,,,,,,,,,,,,,,,,9,,,,
,Alaska Airlines,81.22,,,,,,,,,,,,,,,,,,,,,,10,,,,
,American Airlines,80.53,,,,,,,,,,,,,,,,,,,,,,11,,,,
,Mesa Airlines,77.14,,,,,,,,,,,,,,,,,,,,,,12,,,,
,Spirit Airlines,76.74,,,,,,,,,,,,,,,,,,,,,,13,,,,
,Frontier Airlines,76.64,,,,,,,,,,,,,,,,,,,,,,14,,,,
,Southwest Airlines,75.78,,,,,,,,,,,,,,,,,,,,,,15,,,,
,JetBlue Airways,72.31,,,,,,,,,,,,,,,,,,,,,,16,,,,
,Allegiant Air,68.26,,,,,,,,,,,,,,,,,,,,,,17,,,,
,All Carriers,81.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,
,Delta Air Lines*,82.14,,,,,,,,,,,,,,,,,,,,,,,1,,,
,Alaska Airlines*,79.06,,,,,,,,,,,,,,,,,,,,,,,2,,,
,United Airlines*,78.74,,,,,,,,,,,,,,,,,,,,,,,3,,,
,American Airlines*,77.15,,,,,,,,,,,,,,,,,,,,,,,4,,,
,Hawaiian Airlines**,75.77,,,,,,,,,,,,,,,,,,,,,,,5,,,
,Southwest Airlines,73.18,,,,,,,,,,,,,,,,,,,,,,,6,,,
,Spirit Airlines,72.96,,,,,,,,,,,,,,,,,,,,,,,7,,,
,Frontier Airlines,66.1,,,,,,,,,,,,,,,,,,,,,,,8,,,
,JetBlue Airways,64.63,,,,,,,,,,,,,,,,,,,,,,,9,,,
,Allegiant Air,63.39,,,,,,,,,,,,,,,,,,,,,,,10,,,
,All Airlines,76.72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,
,,,,,,,,,,,,,,,,,,,,,,,,,* Includes branded code-share partners,,,
,,,,,,,,,,,,,,,,,,,,,,,,,** Hawaiian Airlines stopped codesharing starting year 2022,,,
,Delta Air Lines,82.53,,,,,,,,,,,,,,,,,,,,,,,,1,,
,Horizon Air,81.79,,,,,,,,,,,,,,,,,,,,,,,,2,,
,SkyWest Airlines,81.61,,,,,,,,,,,,,,,,,,,,,,,,3,,
,Envoy Air,80.65,,,,,,,,,,,,,,,,,,,,,,,,4,,
,Endeavor Air,80.53,,,,,,,,,,,,,,,,,,,,,,,,5,,
,United Airlines,79.01,,,,,,,,,,,,,,,,,,,,,,,,6,,
,PSA Airlines,77.96,,,,,,,,,,,,,,,,,,,,,,,,7,,
,Mesa Airlines,77.43,,,,,,,,,,,,,,,,,,,,,,,,8,,
,Alaska Airlines,77.28,,,,,,,,,,,,,,,,,,,,,,,,9,,
,Republic Airways,76.42,,,,,,,,,,,,,,,,,,,,,,,,10,,
,Hawaiian Airlines,75.77,,,,,,,,,,,,,,,,,,,,,,,,11,,
,American Airlines,74.94,,,,,,,,,,,,,,,,,,,,,,,,12,,
,Southwest Airlines,73.18,,,,,,,,,,,,,,,,,,,,,,,,13,,
,Spirit Airlines,72.96,,,,,,,,,,,,,,,,,,,,,,,,14,,
,Frontier Airlines,66.1,,,,,,,,,,,,,,,,,,,,,,,,15,,
,JetBlue Airways,64.63,,,,,,,,,,,,,,,,,,,,,,,,16,,
,Allegiant Air,63.39,,,,,,,,,,,,,,,,,,,,,,,,17,,
,All Carriers,76.61,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,
,Delta Air Lines*,83.52,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
,Alaska Airlines*,81.06,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
,American Airlines*,78.88,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
,United Airlines*,78.47,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
,Southwest Airlines,77.25,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
,Hawaiian Airlines,75.2,,,,,,,,,,,,,,,,,,,,,,,,,6.0,
,Allegiant Air,73.37,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
,Spirit Airlines,69.51,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
,JetBlue Airways,67.08,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
,Frontier Airlines,66.99,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
,All Carriers,78.34,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Includes branded code-share partners,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Republic Airways,84.35,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Endeavor Air,84.11,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Delta Air Lines,82.61,,,,,,,,,,,,,,,,,,,,,,,,,,3
,SkyWest Airlines,82.46,,,,,,,,,,,,,,,,,,,,,,,,,,4
,PSA Airlines,82.06,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Envoy Air,80.84,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Alaska Airlines,79.48,,,,,,,,,,,,,,,,,,,,,,,,,,7
,United Airlines,78.07,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Southwest Airlines,77.25,,,,,,,,,,,,,,,,,,,,,,,,,,9
,American Airlines,75.94,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Hawaiian Airlines,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Allegiant Air,73.37,,,,,,,,,,,,,,,,,,,,,,,,,,12
,Spirit Airlines ,69.51,,,,,,,,,,,,,,,,,,,,,,,,,,13
,JetBlue Airways,67.08,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Frontier Airlines,66.99,,,,,,,,,,,,,,,,,,,,,,,,,,15
,All Carriers,78.22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics
