,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,ATA,69.44,,,19,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,66,,,20,,,,,,,,,,,,,,,,,,,,,,,
,All Airlines,75.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,93.29,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aloha,92.25,,,,2,,,,,,,,,,,,,,,,,,,,,,
,Southwest ,80.12,,,,3,,,,,,,,,,,,,,,,,,,,,,
,Frontier  ,77.61,,,,4,,,,,,,,,,,,,,,,,,,,,,
,Delta ,76.89,,,,5,,,,,,,,,,,,,,,,,,,,,,
,AirTran  ,76.81,,,,6,,,,,,,,,,,,,,,,,,,,,,
,Pinnacle ,76.3,,,,7,,,,,,,,,,,,,,,,,,,,,,
,SkyWest  ,75.68,,,,8,,,,,,,,,,,,,,,,,,,,,,
,Continental ,74.34,,,,9,,,,,,,,,,,,,,,,,,,,,,
,ExpressJet  ,73.77,,,,10,,,,,,,,,,,,,,,,,,,,,,
,Mesa  ,73.1,,,,11,,,,,,,,,,,,,,,,,,,,,,
,Alaska  ,72.38,,,,12,,,,,,,,,,,,,,,,,,,,,,
,United ,70.33,,,,13,,,,,,,,,,,,,,,,,,,,,,
,JetBlue ,70.1,,,,14,,,,,,,,,,,,,,,,,,,,,,
,Northwest ,69.62,,,,15,,,,,,,,,,,,,,,,,,,,,,
,American Eagle ,69.13,,,,16,,,,,,,,,,,,,,,,,,,,,,
,American  ,68.74,,,,17,,,,,,,,,,,,,,,,,,,,,,
,US Airways,68.71,,,,18,,,,,,,,,,,,,,,,,,,,,,
,Comair ,67.86,,,,19,,,,,,,,,,,,,,,,,,,,,,
,Atlantic Southeast ,64.73,,,,20,,,,,,,,,,,,,,,,,,,,,,
,All Airlines,73.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,,,,,,,
,Hawaiian  ,89.97,,,,,1,,,,,,,,,,,,,,,,,,,,,
,Southwest ,80.48,,,,,2,,,,,,,,,,,,,,,,,,,,,
,US Airways,80.06,,,,,3,,,,,,,,,,,,,,,,,,,,,
